time,x,y,z,vel,roll,pitch,yaw,terrainHeight,reward
17.23149,0,6026.618,0,24.97939,0,0,0,6000,-1
17.25065,0,6026.614,0,12.59161,0,0,0,6000,-0.2591609
17.27216,0,6026.61,0,6.386598,0,0,0,6000,0.3613402
17.29467,0,6026.606,0,3.280066,0,0,0,6000,0.6719934
17.31849,0,6026.602,0,1.722028,0,0,0,6000,0.8277972
17.34316,0,6023.192,0,69.98978,0,0,0,6000,-1
17.35122,0,6030,0,387.4141,0,0,0,6000,-1
17.3676,0,6026.59,0,89.66356,0,0,0,6000,-1
17.39516,0,6026.586,0,44.7609,0,0,0,6000,-1
17.443,0,6019.734,0,49.22807,0,0,0,6000,-1
17.46386,0,6026.57,0,139.192,0,0,0,6000,-1
17.48602,0,6026.566,0,69.50784,0,0,0,6000,-1
17.5177,0,6026.563,0,34.69226,0,0,0,6000,-1
17.53068,0,6026.559,0,17.19567,0,0,0,6000,-0.7195668
17.55629,0,6026.555,0,8.521581,0,0,0,6000,0.1478419
17.63418,0,6016.18,0,62.34453,0,0,0,6000,-1
17.65981,0,6026.535,0,170.8496,0,0,0,6000,-1
17.68859,0,6023.059,0,25.03111,0,0,0,6000,-1
17.69905,0,6030,0,344.1049,0,0,0,6000,-1
17.72947,0,6023.043,0,57.67544,0,0,0,6000,-1
17.75198,0,6026.516,0,105.9683,0,0,0,6000,-1
17.78078,0,6023.02,0,7.704632,0,0,0,6000,0.2295368
17.80094,0,6026.504,0,82.56356,0,0,0,6000,-1
17.83199,0,6026.5,0,41.21886,0,0,0,6000,-1
17.89659,0,6019.477,0,33.7522,0,0,0,6000,-1
17.90671,0,6026.484,0,329.2857,0,0,0,6000,-1
17.93714,0,6026.48,0,164.5787,0,0,0,6000,-1
17.96983,0,6022.948,0,28.26292,0,0,0,6000,-1
17.99054,0,6026.468,0,99.10681,0,0,0,6000,-1
18.03648,0,6022.925,0,10.98863,0,0,0,6000,-0.09886286
18.05649,0,6026.457,0,93.74659,0,0,0,6000,-1
18.07721,0,6026.453,0,46.77903,0,0,0,6000,-1
18.08779,0,6026.449,0,23.20489,0,0,0,6000,-1
18.09935,0,6030,0,165.1737,0,0,0,6000,-1
18.10839,0,6026.445,0,114.1714,0,0,0,6000,-1
18.12121,0,6026.441,0,57.238,0,0,0,6000,-1
18.13258,0,6030,0,127.8764,0,0,0,6000,-1
18.14342,0,6026.437,0,100.4909,0,0,0,6000,-1
18.16375,0,6026.433,0,50.3415,0,0,0,6000,-1
18.17192,0,6030,0,193.2941,0,0,0,6000,-1
